trip_distance_id,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,rate_code_name,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,payment_type_name,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
161,2,2016-03-10T11:04:29,2016-03-10T11:05:05,2,0.85,Standard rate,0,0,0,0,Cash,1.5,0,0.5,0,0,0.3,2.3
162,2,2016-03-10T11:30:58,2016-03-10T11:31:50,2,4.94,Standard rate,37.38938904,-121.9332504,37.389328,-121.9332962,Credit card,1.5,0,0.5,0,0,0.3,2.3
163,2,2016-03-10T13:17:39,2016-03-10T13:18:24,2,1.15,Standard rate,0,0,0,0,Cash,1.5,0,0.5,0,0,0.3,2.3
164,2,2016-03-10T14:07:40,2016-03-10T14:13:09,2,2.77,Standard rate,37.38941574,-121.9331512,37.38948822,-121.9333267,Cash,2,0,0.5,0,0,0.3,2.8
165,2,2016-03-10T11:19:41,2016-03-10T11:19:48,1,2.72,Standard rate,40.76471329,-73.93675995,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
166,2,2016-03-10T08:23:10,2016-03-10T08:36:56,1,0.41,Standard rate,40.75786591,-73.96962738,40.76701355,-73.95370483,Cash,2.5,0,0.5,0,0,0.3,3.3
167,2,2016-03-10T10:20:54,2016-03-10T10:21:29,1,0.75,Standard rate,40.77455521,-73.98844147,40.77450562,-73.98848724,Cash,2.5,0,0.5,0,0,0.3,3.3
168,2,2016-03-10T11:01:53,2016-03-10T11:02:20,1,1.62,Standard rate,40.76139069,-73.96958923,40.76156998,-73.97029114,Cash,2.5,0,0.5,0,0,0.3,3.3
169,2,2016-03-10T14:22:56,2016-03-10T14:23:18,1,0.88,Standard rate,40.75528717,-73.97782135,40.75522614,-73.97733307,Cash,2.5,0,0.5,0,0,0.3,3.3
170,2,2016-03-10T10:58:02,2016-03-10T10:58:15,2,4.84,Standard rate,40.75521851,-73.97757721,40.75521851,-73.97757721,Cash,2.5,0,0.5,0,0,0.3,3.3
171,2,2016-03-10T12:36:53,2016-03-10T12:37:03,6,0.3,Standard rate,0,0,0,0,Cash,2.5,0,0.5,0,0,0.3,3.3
